code,edge_id,expected_behavior,soc_code,title,work_state,residence_zip,employment_classification,exempt,total_comp_2026
SCL-202,-,coverage sweep row,29-2051,Dietetic Technicians,OH,44201,Regular Full time (FT),Non-Exempt,"$35,100.00"
SCL-203,-,coverage sweep row,29-2099,"Health Technologists and Technicians, All Other",OH,43406,Regular Part time (PT),Non-Exempt,"$46,700.00"
SCL-204,-,coverage sweep row,25-1064,"Geography Teachers, Postsecondary",OK,73040,Regular Full time (FT),Non-Exempt,"$48,900.00"
SCL-205,-,coverage sweep row,19-1013,Soil and Plant Scientists,OK,74010,Regular Full time (FT),Non-Exempt,"$38,300.00"
SCL-206,-,coverage sweep row,49-9071,"Maintenance and Repair Workers, General",OK,73532,Regular Full time (FT),Non-Exempt,"$40,700.00"
SCL-207,-,coverage sweep row,31-2022,Physical Therapist Aides,OK,74536,Regular Full time (FT),Non-Exempt,"$16,800.00"
SCL-208,-,coverage sweep row,43-9071,"Office Machine Operators, Except Computer",OK,73030,Regular Full time (FT),Non-Exempt,"$29,400.00"
SCL-209,-,coverage sweep row,47-4021,Elevator and Escalator Installers and Repairers,OK,73027,Regular Full time (FT),Non-Exempt,"$102,600.00"
SCL-210,-,coverage sweep row,19-1031,Park Naturalists,OK,73947,Regular Part time (PT),Non-Exempt,"$31,600.00"
SCL-211,-,coverage sweep row,43-9199,"Office and Administrative Support Workers, All Other",OR,97002,Regular Full time (FT),Non-Exempt,"$42,200.00"
SCL-212,-,coverage sweep row,51-6099,"Textile, Apparel, and Furnishings Workers, All Other",OR,97014,Regular Full time (FT),Non-Exempt,"$37,400.00"
SCL-213,-,coverage sweep row,13-2053,Insurance Underwriters,OR,97002,Regular Full time (FT),Non-Exempt,"$40,800.00"
SCL-214,-,coverage sweep row,39-5012,"Hairdressers, Hairstylists, and Cosmetologists",OR,97101,Regular Full time (FT),Non-Exempt,"$33,600.00"
SCL-215,-,coverage sweep row,17-2051,Water/Wastewater Engineers,PA,15044,Regular Full time (FT),Non-Exempt,"$92,500.00"
SCL-216,-,coverage sweep row,43-9081,Proofreaders and Copy Markers,PA,17011,Regular Full time (FT),Non-Exempt,"$28,400.00"
SCL-217,-,coverage sweep row,29-9099,Midwives,PA,16657,Regular Part time (PT),Non-Exempt,"$40,000.00"
SCL-218,-,coverage sweep row,33-3051,Customs and Border Protection Officers,PA,16930,Regular Full time (FT),Non-Exempt,"$86,400.00"
SCL-219,-,coverage sweep row,33-3051,Police and Sheriff's Patrol Officers,PA,19118,Regular Full time (FT),Non-Exempt,"$40,100.00"
SCL-220,-,coverage sweep row,17-2071,Electrical Engineers,PA,16347,Regular Full time (FT),Non-Exempt,"$86,000.00"
SCL-221,-,coverage sweep row,13-1081,Logistics Engineers,SC,29812,Regular Full time (FT),Non-Exempt,"$76,900.00"
SCL-222,-,coverage sweep row,51-9198,Helpers--Production Workers,SC,29009,Regular Full time (FT),Non-Exempt,"$15,700.00"
SCL-223,-,coverage sweep row,25-2011,"Preschool Teachers, Except Special Education",SC,29322,Regular Full time (FT),Non-Exempt,"$29,000.00"
SCL-224,-,coverage sweep row,13-2053,Insurance Underwriters,SC,29565,Regular Part time (PT),Non-Exempt,"$81,100.00"
SCL-225,-,coverage sweep row,17-2112,Validation Engineers,SC,29031,Regular Full time (FT),Non-Exempt,"$54,500.00"
SCL-226,-,coverage sweep row,29-2091,Orthotists and Prosthetists,SD,57325,Regular Full time (FT),Non-Exempt,"$71,200.00"
SCL-227,-,coverage sweep row,29-1215,Family Medicine Physicians,SD,57235,Regular Full time (FT),Non-Exempt,"$217,500.00"
SCL-228,-,coverage sweep row,25-1126,"Philosophy and Religion Teachers, Postsecondary",SD,57201,Regular Full time (FT),Non-Exempt,"$31,900.00"
SCL-229,-,coverage sweep row,11-9171,Funeral Home Managers,SD,57017,Regular Full time (FT),Non-Exempt,"$82,100.00"
SCL-230,-,coverage sweep row,27-2041,Music Directors and Composers,SD,57015,Regular Full time (FT),Non-Exempt,"$37,000.00"
SCL-231,-,coverage sweep row,49-3092,Recreational Vehicle Service Technicians,SD,57442,Regular Part time (PT),Non-Exempt,"$24,100.00"
SCL-232,-,coverage sweep row,17-2199,"Energy Engineers, Except Wind and Solar",TN,38317,Regular Full time (FT),Non-Exempt,"$72,300.00"
SCL-233,-,coverage sweep row,31-9099,"Healthcare Support Workers, All Other",TN,37150,Regular Full time (FT),Non-Exempt,"$42,000.00"
SCL-234,-,coverage sweep row,19-1023,Zoologists and Wildlife Biologists,TN,38002,Regular Full time (FT),Non-Exempt,"$31,300.00"
SCL-235,-,coverage sweep row,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",TN,37731,Regular Full time (FT),Non-Exempt,"$44,700.00"
SCL-236,-,coverage sweep row,43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",TN,37030,Regular Full time (FT),Non-Exempt,"$34,600.00"
SCL-237,-,coverage sweep row,27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",TN,38044,Regular Full time (FT),Non-Exempt,"$20,300.00"
SCL-238,-,coverage sweep row,41-9021,Real Estate Brokers,TN,37726,Regular Part time (PT),Non-Exempt,"$57,500.00"
SCL-239,-,coverage sweep row,51-1011,First-Line Supervisors of Production and Operating Workers,TN,37014,Regular Full time (FT),Non-Exempt,"$63,100.00"
SCL-240,-,coverage sweep row,27-1027,Set and Exhibit Designers,TN,37022,Regular Full time (FT),Non-Exempt,"$20,800.00"
SCL-241,-,coverage sweep row,33-2011,Firefighters,TX,75751,Regular Full time (FT),Non-Exempt,"$49,100.00"
SCL-242,-,coverage sweep row,25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",TX,76360,Regular Full time (FT),Non-Exempt,"$105,100.00"
SCL-243,-,coverage sweep row,23-2099,"Legal Support Workers, All Other",TX,79088,Regular Full time (FT),Non-Exempt,"$30,800.00"
SCL-244,-,coverage sweep row,29-1171,Nurse Practitioners,TX,79036,Regular Full time (FT),Non-Exempt,"$110,600.00"
SCL-245,-,coverage sweep row,47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",TX,75007,Regular Part time (PT),Non-Exempt,"$38,300.00"
SCL-246,-,coverage sweep row,29-1011,Chiropractors,TX,79235,Regular Full time (FT),Non-Exempt,"$39,900.00"
SCL-247,-,coverage sweep row,49-9099,"Installation, Maintenance, and Repair Workers, All Other",TX,78014,Regular Full time (FT),Non-Exempt,"$36,600.00"
SCL-248,-,coverage sweep row,33-9091,Crossing Guards and Flaggers,TX,75423,Regular Full time (FT),Non-Exempt,"$32,700.00"
SCL-249,-,coverage sweep row,17-3026,Nanotechnology Engineering Technologists and Technicians,TX,77510,Regular Full time (FT),Non-Exempt,"$34,700.00"
SCL-250,-,coverage sweep row,33-9099,Retail Loss Prevention Specialists,TX,79041,Regular Full time (FT),Non-Exempt,"$28,500.00"
SCL-251,-,coverage sweep row,19-1012,Food Scientists and Technologists,TX,78130,Regular Full time (FT),Non-Exempt,"$92,700.00"
SCL-252,-,coverage sweep row,33-9091,Crossing Guards and Flaggers,TX,79837,Regular Part time (PT),Non-Exempt,"$19,800.00"
SCL-253,-,coverage sweep row,25-2057,"Special Education Teachers, Middle School",TX,78332,Regular Full time (FT),Non-Exempt,"$59,400.00"
SCL-254,-,coverage sweep row,39-1013,First-Line Supervisors of Gambling Services Workers,TX,78355,Regular Full time (FT),Non-Exempt,"$48,800.00"
SCL-255,-,coverage sweep row,17-3011,Architectural and Civil Drafters,TX,75838,Regular Full time (FT),Non-Exempt,"$31,200.00"
SCL-256,-,coverage sweep row,43-5071,"Shipping, Receiving, and Inventory Clerks",TX,75555,Regular Full time (FT),Non-Exempt,"$34,700.00"
SCL-257,-,coverage sweep row,27-1029,"Designers, All Other",TX,76225,Regular Full time (FT),Non-Exempt,"$39,500.00"
SCL-258,-,coverage sweep row,29-1127,Speech-Language Pathologists,TX,79001,Regular Full time (FT),Non-Exempt,"$49,600.00"
SCL-259,-,coverage sweep row,47-5011,"Derrick Operators, Oil and Gas",TX,75410,Regular Part time (PT),Non-Exempt,"$49,400.00"
SCL-260,-,coverage sweep row,15-1252,Software Developers,TX,76861,Regular Full time (FT),Non-Exempt,"$130,500.00"
SCL-261,-,coverage sweep row,43-2099,"Communications Equipment Operators, All Other",TX,75643,Regular Full time (FT),Non-Exempt,"$35,100.00"
SCL-262,-,coverage sweep row,51-8091,Chemical Plant and System Operators,TX,79519,Regular Full time (FT),Non-Exempt,"$63,100.00"
SCL-263,-,coverage sweep row,11-9151,Social and Community Service Managers,TX,79706,Regular Full time (FT),Non-Exempt,"$69,700.00"
SCL-264,-,coverage sweep row,25-1032,"Engineering Teachers, Postsecondary",TX,77420,Regular Full time (FT),Non-Exempt,"$48,000.00"
SCL-265,-,coverage sweep row,51-1011,First-Line Supervisors of Production and Operating Workers,TX,76372,Regular Full time (FT),Non-Exempt,"$49,300.00"
SCL-266,-,coverage sweep row,11-3121,Human Resources Managers,UT,84720,Regular Part time (PT),Non-Exempt,"$131,100.00"
SCL-267,-,coverage sweep row,15-1251,Computer Programmers,UT,84052,Regular Full time (FT),Non-Exempt,"$47,900.00"
SCL-268,-,coverage sweep row,27-4012,Broadcast Technicians,VA,23958,Regular Full time (FT),Non-Exempt,"$31,200.00"
SCL-269,-,coverage sweep row,49-9095,Manufactured Building and Mobile Home Installers,VA,23963,Regular Full time (FT),Non-Exempt,"$48,300.00"
SCL-270,-,coverage sweep row,49-9099,Geothermal Technicians,VA,24217,Regular Full time (FT),Non-Exempt,"$25,000.00"
SCL-271,-,coverage sweep row,39-5094,Skincare Specialists,VA,23038,Regular Full time (FT),Non-Exempt,"$32,600.00"
SCL-272,-,coverage sweep row,25-1043,"Forestry and Conservation Science Teachers, Postsecondary",VA,23089,Regular Full time (FT),Non-Exempt,"$127,500.00"
SCL-273,-,coverage sweep row,39-4031,"Morticians, Undertakers, and Funeral Arrangers",VA,23050,Regular Part time (PT),Non-Exempt,"$34,500.00"
SCL-274,-,coverage sweep row,51-9031,"Cutters and Trimmers, Hand",VA,24053,Regular Full time (FT),Non-Exempt,"$29,300.00"
SCL-275,-,coverage sweep row,53-7199,"Material Moving Workers, All Other",VA,22801,Regular Full time (FT),Non-Exempt,"$44,500.00"
SCL-276,-,coverage sweep row,17-1021,Cartographers and Photogrammetrists,VA,24314,Regular Full time (FT),Non-Exempt,"$35,300.00"
SCL-277,-,coverage sweep row,17-1022,Surveyors,VA,22901,Regular Full time (FT),Non-Exempt,"$60,400.00"
SCL-278,-,coverage sweep row,13-1041,Environmental Compliance Inspectors,VA,24333,Regular Full time (FT),Non-Exempt,"$81,000.00"
SCL-279,-,coverage sweep row,51-2041,Structural Metal Fabricators and Fitters,VA,24273,Regular Full time (FT),Non-Exempt,"$32,500.00"
SCL-280,-,coverage sweep row,51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",VA,22980,Regular Part time (PT),Non-Exempt,"$44,700.00"
SCL-281,-,coverage sweep row,15-1252,Software Developers,VT,05060,Regular Full time (FT),Non-Exempt,"$130,700.00"
SCL-282,-,coverage sweep row,35-3023,Baristas,WA,98331,Regular Full time (FT),Non-Exempt,"$27,500.00"
SCL-283,-,coverage sweep row,39-1014,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",WA,98282,Regular Full time (FT),Non-Exempt,"$47,200.00"
SCL-284,-,coverage sweep row,21-1019,"Counselors, All Other",WA,83856,Regular Full time (FT),Non-Exempt,"$58,200.00"
SCL-285,-,coverage sweep row,25-1126,"Philosophy and Religion Teachers, Postsecondary",WA,99348,Regular Full time (FT),Non-Exempt,"$39,800.00"
SCL-286,-,coverage sweep row,49-9051,Electrical Power-Line Installers and Repairers,WI,54801,Regular Full time (FT),Non-Exempt,"$80,600.00"
SCL-287,-,coverage sweep row,11-2032,Public Relations Managers,WI,54005,Regular Part time (PT),Non-Exempt,"$106,600.00"
SCL-288,-,coverage sweep row,51-8013,Biomass Plant Technicians,WI,53036,Regular Full time (FT),Non-Exempt,"$45,400.00"
SCL-289,-,coverage sweep row,11-3051,Biomass Power Plant Managers,WI,54103,Regular Full time (FT),Non-Exempt,"$95,900.00"
SCL-290,-,coverage sweep row,51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",WI,54002,Regular Full time (FT),Non-Exempt,"$46,600.00"
SCL-291,-,coverage sweep row,19-3099,Transportation Planners,WI,54517,Regular Full time (FT),Non-Exempt,"$50,200.00"
SCL-292,-,coverage sweep row,29-9092,Genetic Counselors,WI,54170,Regular Full time (FT),Non-Exempt,"$82,100.00"
SCL-293,-,coverage sweep row,29-2099,Neurodiagnostic Technologists,WV,25141,Regular Full time (FT),Non-Exempt,"$49,000.00"
SCL-294,-,coverage sweep row,19-4099,Quality Control Analysts,WV,26330,Regular Part time (PT),Non-Exempt,"$32,000.00"
SCL-295,-,coverage sweep row,29-2036,Medical Dosimetrists,WV,25082,Regular Full time (FT),Non-Exempt,"$37,800.00"
SCL-296,-,coverage sweep row,51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",WV,24986,Regular Full time (FT),Non-Exempt,"$37,500.00"
SCL-297,-,coverage sweep row,35-3023,Fast Food and Counter Workers,WV,26146,Regular Full time (FT),Non-Exempt,"$15,400.00"
SCL-298,-,coverage sweep row,19-3034,School Psychologists,WY,82701,Regular Full time (FT),Non-Exempt,"$78,700.00"
SCL-299,-,coverage sweep row,15-1243,Data Warehousing Specialists,WY,82620,Regular Full time (FT),Non-Exempt,"$62,800.00"
SCL-300,-,coverage sweep row,43-5071,"Shipping, Receiving, and Inventory Clerks",AK,99503,Regular Full time (FT),Non-Exempt,"$28,600.00"
